+-----------+--------------+-------+-----------+------------------+---------------+---------------+
| problemid | type         | level | algorithm | source           | free_solution | free_testdata |
| REDOKS    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| STAZA     | combat       |     3 |      NULL | COCI             |             0 |             0 |
| TEXTPRO   | combat       |     3 |      NULL | SWERC 15         |             0 |             0 |
| TREZOR    | combat       |     3 |      NULL | COCI             |             0 |             0 |
| A         | freetraining |     0 |      NULL | none             |             0 |             0 |
| ADJUST    | freetraining |     1 |      NULL | NEERC 15-16      |             0 |             0 |
| BANKS     | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| BLDHOME   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| BOND      | freetraining |     1 |      NULL | COCI 06-07 #1    |             0 |             0 |
| CANVAS    | freetraining |     1 |      NULL | SWERC 15         |             0 |             0 |
| CTRLPTS   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| CYCLANE   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| DICECUP   | freetraining |     1 |      NULL | SWERC 15         |             0 |             0 |
| EASYPRO   | freetraining |     1 |      NULL | NEERC 15-16      |             0 |             0 |
| FC58APA   | freetraining |     1 |      NULL | Free Contest #58 |             1 |             1 |
| FC58BIT   | freetraining |     1 |      NULL | Free Contest #58 |             1 |             1 |
| FC58DOF   | freetraining |     1 |      NULL | Free Contest #58 |             1 |             1 |
| FC58HAS   | freetraining |     1 |      NULL | Free Contest #58 |             1 |             1 |
| FC58PAL   | freetraining |     1 |      NULL | Free Contest #58 |             1 |             1 |
| FC59CAR   | freetraining |     1 |      NULL | Free Contest #59 |             1 |             1 |
| FC59DIC   | freetraining |     1 |      NULL | Free Contest #59 |             1 |             1 |
| FC59HAT   | freetraining |     1 |      NULL | Free Contest #59 |             1 |             1 |
| FC59LAD   | freetraining |     1 |      NULL | Free Contest #59 |             1 |             1 |
| FC60CNT   | freetraining |     1 |      NULL | Free Contest #60 |             1 |             1 |
| FC60CRO   | freetraining |     1 |      NULL | Free Contest #60 |             1 |             1 |
| FC60KEN   | freetraining |     1 |      NULL | Free Contest #60 |             1 |             1 |
| FC60LIS   | freetraining |     1 |      NULL | Free Contest #60 |             1 |             1 |
| FC60ZER   | freetraining |     1 |      NULL | Free Contest #60 |             1 |             1 |
| FRAME     | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| HARDWRK   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| HERMAN    | freetraining |     1 |      NULL | COCI 06-07 #1    |             0 |             0 |
| IDEAMRA   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| INTRNET   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| IRRATIO   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| LCM       | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| LETTERS   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| MIRACUL   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| MODULO    | freetraining |     1 |      NULL | COCI 06-07 #1    |             0 |             0 |
| OKVIRI    | freetraining |     1 |      NULL | COCI 06-07 #1    |             0 |             0 |
| OLYMPIC   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| PORTO     | freetraining |     1 |      NULL | SWERC 14         |             0 |             0 |
| PRIMES    | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| PROMO     | freetraining |     1 |      NULL | SWERC 15         |             0 |             0 |
| RAILWAY   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| READING   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| ROOTINT   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SEARTEM   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SERGAME   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SERPTS    | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SHARES    | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SHELDON   | freetraining |     1 |      NULL | SWERC 15         |             0 |             0 |
| SLIKAR    | freetraining |     1 |      NULL | COCI 06-07 #1    |             0 |             0 |
| SOFTIND   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| STOCKEX   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| SYSENGI   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| TABLE     | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| TAXIES    | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| TRIPLES   | freetraining |     1 |      NULL | SEERC            |             0 |             0 |
| BADNUM    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| BGPAINT   | freetraining |     2 |      NULL | SWERC 14         |             0 |             0 |
| CALCULA   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| CAMERA    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| CASTLE    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| CITYPAK   | freetraining |     2 |      NULL | SWERC 14         |             0 |             0 |
| COSMIC    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| EQUIVAL   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| GAMERS    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| GMECARD   | freetraining |     2 |      NULL | SWERC 15         |             0 |             0 |
| GOLFBOT   | freetraining |     2 |      NULL | SWERC 14         |             0 |             0 |
| INFLUEN   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| INTERCI   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| LCKNUM1   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| LONGPRE   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| MOSTINF   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| PAINT     | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| PALIND    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| PERFECT   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| PRBLSET   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| QUICKAN   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| REDJOHN   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| RICOCHE   | freetraining |     2 |      NULL | SWERC 14         |             0 |             0 |
| RSAFACT   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| RUSDOLL   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| SAFESEC   | freetraining |     2 |      NULL | SWERC 14         |             0 |             0 |
| SECRET    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| SKYCODE   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| STRANGE   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| STRIPE    | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| THREESQ   | freetraining |     2 |      NULL | SEERC            |             0 |             0 |
| APLUSB    | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| BINDEC    | freetraining |     3 |      NULL | NEERC 15-16      |             0 |             0 |
| BYMOUTH   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| CHESS     | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| CIRDIGI   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| COMGAME   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| DRAGON    | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| FAVMUSC   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| GCDDET    | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| GRAMMAR   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| HYPCUBE   | freetraining |     3 |      NULL | NEERC 15-16      |             0 |             0 |
| LCKNUM2   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| LUCKCTY   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| MACHINE   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| MAXDIV    | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| MONEYTR   | freetraining |     3 |      NULL | SWERC 14         |             0 |             0 |
| MULSCHE   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| PLAYGEO   | freetraining |     3 |      NULL | none             |             0 |             0 |
| PROFGEN   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| ROADPLN   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| ROBBERY   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| SAFETY    | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| SOFTVIL   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| TERMGEN   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| UFO       | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
| VANDINS   | freetraining |     3 |      NULL | SEERC            |             0 |             0 |
+-----------+--------------+-------+-----------+------------------+---------------+---------------+
264 rows in set (0.00 sec)
